Movie Name,Year,City,State,Type
Toy Story ,1995,Basildon,England,Adventure
Jumanji ,1995,Parkville                   ,MO,Adventure
Grumpier Old Men ,1995,Astoria                     ,OR,Comedy
Waiting to Exhale ,1995,Echuca,Victoria,Comedy
Father of the Bride Part II ,1995,Cahaba Heights              ,AL,Comedy
Heat ,1995,Mickleton                   ,NJ,Action
Sabrina ,1995,Peoria                      ,IL,Comedy
Tom and Huck ,1995,Martin                      ,TN,Adventure
Sudden Death ,1995,Tel Aviv,Tel Aviv,Action
GoldenEye ,1995,Chatou,Ile-de-France,Action
"American President, The ",1995,New York                    ,NY,Comedy
Dracula: Dead and Loving It ,1995,Eindhoven,Noord-Brabant,Comedy
Balto ,1995,Shavano Park                ,TX,Adventure
Nixon ,1995,Eagle                       ,ID,Drama
Cutthroat Island ,1995,Riverside                   ,NJ,Action
Casino ,1995,Julianstown,Meath,Crime
Sense and Sensibility ,1995,Ottawa,Ontario,Drama
Four Rooms ,1995,Hyderabad,Andhra Pradesh,Comedy
Ace Ventura: When Nature Calls ,1995,London,England,Comedy
Money Train ,1995,Salt Lake City              ,UT,Action
Get Shorty ,1995,Manchester,England,Comedy
Copycat ,1995,Ballynora,Cork,Crime
Assassins ,1995,Roodepoort,Gauteng,Action
Powder ,1995,Chula Vista                 ,CA,Drama
Leaving Las Vegas ,1995,Kuopio,Ita-Suomen Laani,Drama
Othello ,1995,Sugar Land                  ,TX,Drama
Now and Then ,1995,New York                    ,NY,Children
Persuasion ,1995,London,England,Drama
"City of Lost Children, The ","Cité des enfants perdus, La",Morton                      ,IL,Adventure
Shanghai Triad ,Yao a yao yao dao waipo qiao,Los Gatos                   ,CA,Crime
Dangerous Minds ,1995,New York                    ,NY,Drama
Twelve Monkeys ,a.k.a. 12 Monkeys,Miami                       ,FL,Mystery
Babe ,1995,Vesenaz,Geneve,Children
Dead Man Walking ,1995,Brooklyn                    ,NY,Crime
It Takes Two ,1995,Badhoevedorp,Noord-Holland,Children
Clueless ,1995,Reston                      ,VA,Comedy
"Cry, the Beloved Country ",1995,Burpengary,Queensland,Drama
Richard III ,1995,Phoenix                     ,AZ,Drama
Dead Presidents ,1995,Houston                     ,TX,Action
Restoration ,1995,Pittsfield                  ,VT,Drama
Mortal Kombat ,1995,Pittsfield                  ,VT,Action
To Die For ,1995,Ball Ground                 ,GA,Comedy
How to Make an American Quilt ,1995,Helsingor,Frederiksborg,Drama
Seven ,a.k.a. Se7en,Flossmoor                   ,IL,Mystery
Pocahontas ,1995,Houston                     ,TX,Animation
When Night Is Falling ,1995,Delray Beach                ,FL,Drama
"Usual Suspects, The ",1995,Newbury,England,Crime
Mighty Aphrodite ,1995,Kobenhavn,Kobenhavn,Comedy
Lamerica ,1994,Sandy Springs               ,GA,Adventure
"Big Green, The ",1995,Kinsaley,Dublin,Children
Georgia ,1995,Fort Lauderdale             ,FL,Drama
Home for the Holidays ,1995,Melbourne,Victoria,Drama
"Postman, The ","Postino, Il",Ankeny                      ,IA,Comedy
"Indian in the Cupboard, The ",1995,Pittsboro                   ,NC,Adventure
Eye for an Eye ,1996,New Rochelle                ,NY,Drama
Mr. Holland's Opus ,1995,Gold Coast,Queensland,Drama
Don't Be a Menace to South Central While Drinking Your Juice in the Hood ,1996,Brussels,Brussels (Bruxelles),Comedy
Two if by Sea ,1996,Maple Ridge District Municipality,British Columbia,Comedy
Bio-Dome ,1996,Beachwood                   ,OH,Comedy
Lawnmower Man 2: Beyond Cyberspace ,1996,Prince Albert,Saskatchewan,Action
